T_ms,phase,x,y,theta_deg,speed,adv_v,turn_v,dist_wp,counter,wps_left
3,cruise,0.00,0.00,0.00,0.16,0.02,-0.12,50.00,0,4
56,cruise,0.00,0.00,-0.02,-0.17,0.24,-0.70,50.00,0,4
108,cruise,-0.02,0.00,-0.05,-0.51,0.45,-0.69,50.02,0,4
160,cruise,-0.05,0.00,-0.08,-0.40,0.66,-0.68,50.05,0,4
213,cruise,-0.06,0.00,-0.11,-0.08,0.87,-0.67,50.06,0,4
265,cruise,-0.06,0.00,-0.14,0.01,1.08,-0.67,50.06,0,4
318,cruise,-0.05,0.00,-0.17,0.33,1.29,-0.66,50.05,0,4
370,cruise,-0.03,-0.00,-0.19,0.54,1.50,-0.66,50.03,0,4
422,cruise,0.00,-0.00,-0.22,0.56,1.70,-0.66,50.00,0,4
476,cruise,0.03,-0.00,-0.25,0.61,1.92,-0.66,49.97,0,4
528,cruise,0.06,-0.00,-0.28,0.50,2.13,-0.66,49.94,0,4
580,cruise,0.09,-0.00,-0.31,0.41,2.34,-0.66,49.91,0,4
633,cruise,0.10,-0.00,-0.34,0.24,2.55,-0.65,49.90,0,4
685,cruise,0.11,-0.00,-0.36,0.06,2.76,-0.65,49.89,0,4
737,cruise,0.11,-0.00,-0.39,-0.01,2.97,-0.64,49.89,0,4
790,cruise,0.11,-0.00,-0.42,-0.04,3.18,-0.64,49.89,0,4
843,cruise,0.11,-0.00,-0.45,0.02,3.39,-0.63,49.89,0,4
895,cruise,0.11,-0.00,-0.47,0.01,3.60,-0.63,49.89,0,4
947,cruise,0.11,-0.00,-0.50,0.07,3.76,-0.62,49.89,0,4
1000,cruise,0.13,-0.00,-0.53,0.66,3.76,-0.62,49.87,0,4
1056,cruise,0.18,-0.00,-0.55,0.93,3.76,-0.62,49.82,0,4
1110,cruise,0.23,-0.00,-0.58,0.70,3.75,-0.62,49.77,0,4
1166,cruise,0.26,-0.00,-0.61,0.69,3.76,-0.62,49.74,0,4
1218,cruise,0.30,-0.00,-0.64,0.82,3.75,-0.62,49.70,0,4
1273,cruise,0.34,-0.00,-0.66,0.67,3.75,-0.62,49.66,0,4
1326,cruise,0.38,-0.00,-0.69,0.75,3.75,-0.62,49.62,0,4
1379,cruise,0.42,-0.00,-0.72,0.76,3.75,-0.62,49.58,0,4
1432,cruise,0.46,-0.00,-0.74,0.74,3.75,-0.62,49.54,0,4
1487,cruise,0.51,-0.01,-0.77,0.90,3.75,-0.63,49.49,0,4
1543,cruise,0.56,-0.01,-0.80,0.80,3.74,-0.63,49.44,0,4
1595,cruise,0.60,-0.01,-0.83,0.83,3.74,-0.63,49.40,0,4
1652,cruise,0.65,-0.01,-0.86,0.90,3.74,-0.63,49.35,0,4
1704,cruise,0.69,-0.01,-0.88,0.83,3.74,-0.63,49.31,0,4
1757,cruise,0.74,-0.01,-0.91,0.82,3.74,-0.63,49.26,0,4
1809,cruise,0.78,-0.01,-0.94,0.99,3.73,-0.63,49.22,0,4
1865,cruise,0.84,-0.01,-0.97,0.96,3.73,-0.64,49.16,0,4
1920,cruise,0.89,-0.01,-0.99,1.14,3.72,-0.64,49.11,0,4
1973,cruise,0.96,-0.01,-1.02,1.24,3.79,-0.61,49.04,0,4
2026,cruise,1.03,-0.01,-1.05,1.41,3.78,-0.61,48.97,0,4
2084,cruise,1.11,-0.01,-1.08,1.37,3.77,-0.62,48.89,0,4
2160,cruise,1.22,-0.02,-1.11,1.78,3.75,-0.62,48.78,0,4
2215,cruise,1.33,-0.02,-1.14,1.94,3.73,-0.63,48.67,0,4
2268,cruise,1.43,-0.02,-1.17,1.92,3.72,-0.64,48.57,0,4
2321,cruise,1.55,-0.02,-1.20,2.46,3.70,-0.65,48.45,0,4
2373,cruise,1.69,-0.03,-1.23,2.93,3.66,-0.67,48.31,0,4
2429,cruise,1.86,-0.03,-1.26,2.89,3.63,-0.69,48.14,0,4
2482,cruise,2.01,-0.03,-1.29,3.04,3.59,-0.70,47.99,0,4
2534,cruise,2.17,-0.04,-1.32,2.90,3.55,-0.72,47.83,0,4
2587,cruise,2.32,-0.04,-1.35,3.04,3.51,-0.74,47.68,0,4
2639,cruise,2.49,-0.05,-1.38,3.41,3.46,-0.77,47.51,0,4
2692,cruise,2.67,-0.05,-1.42,3.17,3.41,-0.79,47.33,0,4
2745,cruise,2.83,-0.05,-1.45,3.17,3.36,-0.82,47.17,0,4
2797,cruise,2.99,-0.06,-1.49,2.91,3.52,-0.74,47.01,0,4
2849,cruise,3.14,-0.06,-1.52,2.99,3.48,-0.76,46.86,0,4
2902,cruise,3.31,-0.07,-1.55,3.32,3.44,-0.78,46.69,0,4
2955,cruise,3.48,-0.07,-1.59,3.08,3.39,-0.80,46.52,0,4
3007,cruise,3.65,-0.08,-1.62,3.34,3.35,-0.83,46.35,0,4
3059,cruise,3.81,-0.08,-1.66,2.94,3.30,-0.85,46.19,0,4
3112,cruise,3.98,-0.08,-1.70,3.30,3.25,-0.87,46.02,0,4
3164,cruise,4.15,-0.09,-1.74,3.22,3.20,-0.90,45.85,0,4
3217,cruise,4.33,-0.10,-1.78,3.69,3.14,-0.93,45.67,0,4
3269,cruise,4.53,-0.10,-1.82,3.82,3.06,-0.97,45.47,0,4
3322,cruise,4.74,-0.11,-1.87,3.94,2.98,-1.01,45.26,0,4
3374,cruise,4.93,-0.12,-1.91,3.40,3.19,-0.87,45.07,0,4
3426,cruise,5.08,-0.12,-1.95,2.51,3.21,-0.89,44.92,0,4
3480,cruise,5.23,-0.12,-1.99,2.99,3.17,-0.91,44.77,0,4
3532,cruise,5.38,-0.13,-2.03,2.94,3.13,-0.94,44.62,0,4
3584,cruise,5.53,-0.14,-2.07,2.61,3.08,-0.96,44.47,0,4
3637,cruise,5.67,-0.14,-2.12,2.85,3.04,-0.98,44.33,0,4
3690,cruise,5.82,-0.15,-2.16,2.83,2.99,-1.01,44.18,0,4
3742,cruise,5.97,-0.15,-2.21,2.79,2.94,-1.03,44.03,0,4
3794,cruise,6.11,-0.16,-2.25,2.70,2.89,-1.06,43.89,0,4
3847,cruise,6.26,-0.16,-2.30,2.87,2.83,-1.08,43.74,0,4
3900,cruise,6.42,-0.17,-2.35,3.09,2.77,-1.11,43.58,0,4
3953,cruise,6.57,-0.18,-2.41,2.62,2.71,-1.14,43.43,0,4
4005,cruise,6.71,-0.18,-2.46,3.01,2.65,-1.18,43.29,0,4
4058,cruise,6.88,-0.19,-2.51,3.29,2.86,-0.97,43.12,0,4
4110,cruise,7.05,-0.20,-2.55,3.06,3.02,-0.99,42.95,0,4
4163,cruise,7.21,-0.20,-2.60,3.33,2.96,-1.02,42.79,0,4
4215,cruise,7.40,-0.21,-2.64,3.93,2.90,-1.05,42.60,0,4
4267,cruise,7.59,-0.22,-2.69,3.37,2.83,-1.09,42.41,0,4
4320,cruise,7.76,-0.23,-2.74,2.99,2.76,-1.12,42.24,0,4
4373,cruise,7.92,-0.24,-2.79,3.08,2.70,-1.15,42.08,0,4
4425,cruise,8.07,-0.25,-2.85,2.76,2.64,-1.18,41.93,0,4
4478,cruise,8.22,-0.25,-2.90,2.70,2.58,-1.21,41.78,0,4
4530,cruise,8.36,-0.26,-2.96,2.65,2.52,-1.24,41.64,0,4
4583,cruise,8.51,-0.27,-3.02,3.03,2.46,-1.27,41.49,0,4
4635,cruise,8.66,-0.28,-3.08,2.76,2.38,-1.31,41.34,0,4
4688,cruise,8.79,-0.28,-3.13,2.34,2.56,-1.03,41.21,0,4
4740,cruise,8.91,-0.29,-3.18,2.19,2.77,-1.05,41.09,0,4
4792,cruise,9.03,-0.30,-3.23,2.37,2.87,-1.06,40.97,0,4
4845,cruise,9.15,-0.30,-3.27,2.22,2.83,-1.08,40.85,0,4
4898,cruise,9.27,-0.31,-3.32,2.17,2.80,-1.10,40.73,0,4
4950,cruise,9.38,-0.32,-3.37,1.94,2.76,-1.12,40.62,0,4
5003,cruise,9.47,-0.32,-3.43,1.66,2.74,-1.13,40.53,0,4
5055,cruise,9.55,-0.33,-3.48,1.41,2.72,-1.14,40.45,0,4
5108,cruise,9.62,-0.33,-3.53,1.25,2.70,-1.15,40.38,0,4
5160,cruise,9.68,-0.33,-3.58,1.03,2.69,-1.15,40.32,0,4
5213,cruise,9.73,-0.34,-3.64,1.06,2.68,-1.16,40.27,0,4
5265,cruise,9.79,-0.34,-3.69,1.27,2.67,-1.16,40.21,0,4
5317,cruise,9.86,-0.35,-3.75,1.18,2.66,-1.17,40.14,0,4
5370,cruise,9.92,-0.35,-3.80,1.34,2.64,-1.18,40.08,0,4
5422,cruise,10.00,-0.36,-3.85,1.57,2.62,-1.19,40.00,0,4
5475,cruise,10.08,-0.36,-3.91,1.50,2.60,-1.20,39.92,0,4
5528,cruise,10.17,-0.37,-3.97,1.69,2.58,-1.21,39.84,0,4
5580,cruise,10.25,-0.37,-4.02,1.43,2.55,-1.22,39.75,0,4
5633,cruise,10.32,-0.38,-4.08,1.54,2.53,-1.24,39.68,0,4
5685,cruise,10.42,-0.38,-4.14,2.06,2.50,-1.25,39.58,0,4
5738,cruise,10.52,-0.39,-4.20,1.94,2.46,-1.27,39.48,0,4
5790,cruise,10.61,-0.40,-4.26,1.57,2.42,-1.29,39.39,0,4
5843,cruise,10.70,-0.41,-4.31,1.74,2.53,-0.97,39.30,0,4
5895,cruise,10.79,-0.41,-4.36,1.80,2.74,-0.98,39.21,0,4
5948,cruise,10.90,-0.42,-4.40,2.27,2.95,-0.99,39.10,0,4
6000,cruise,11.01,-0.43,-4.45,1.99,2.99,-1.01,38.99,0,4
6053,cruise,11.12,-0.44,-4.49,2.07,2.96,-1.02,38.89,0,4
6106,cruise,11.24,-0.45,-4.54,2.51,2.92,-1.04,38.76,0,4
6158,cruise,11.37,-0.46,-4.59,2.30,2.88,-1.06,38.64,0,4
6210,cruise,11.49,-0.47,-4.64,2.46,2.84,-1.08,38.51,0,4
6263,cruise,11.63,-0.48,-4.69,2.84,2.79,-1.10,38.37,0,4
6316,cruise,11.78,-0.49,-4.74,2.87,2.74,-1.13,38.22,0,4
6368,cruise,11.92,-0.50,-4.79,2.51,2.68,-1.16,38.08,0,4
6421,cruise,12.05,-0.51,-4.85,2.51,2.63,-1.18,37.95,0,4
6473,cruise,12.18,-0.53,-4.90,2.44,2.58,-1.21,37.82,0,4
6526,cruise,12.30,-0.54,-4.96,1.93,2.54,-1.23,37.70,0,4
6579,cruise,12.40,-0.54,-5.02,1.84,2.50,-1.25,37.60,0,4
6631,cruise,12.51,-0.55,-5.07,2.12,2.46,-1.27,37.50,0,4
6683,cruise,12.62,-0.56,-5.13,2.17,2.44,-1.22,37.38,0,4
6736,cruise,12.73,-0.57,-5.18,2.13,2.65,-0.94,37.27,0,4
6789,cruise,12.84,-0.58,-5.22,2.19,2.86,-0.96,37.16,0,4
6841,cruise,12.96,-0.59,-5.27,2.28,3.05,-0.97,37.05,0,4
6893,cruise,13.09,-0.61,-5.31,2.76,3.02,-0.99,36.92,0,4
6946,cruise,13.24,-0.62,-5.36,3.20,2.97,-1.02,36.76,0,4
6999,cruise,13.42,-0.64,-5.41,3.17,2.91,-1.05,36.59,0,4
7051,cruise,13.58,-0.65,-5.45,3.17,2.85,-1.08,36.43,0,4
7104,cruise,13.74,-0.67,-5.50,2.90,2.79,-1.10,36.27,0,4
7157,cruise,13.89,-0.68,-5.56,2.87,2.73,-1.13,36.12,0,4
7209,cruise,14.05,-0.70,-5.61,3.46,2.67,-1.17,35.96,0,4
7262,cruise,14.22,-0.71,-5.66,2.89,2.59,-1.20,35.79,0,4
7314,cruise,14.36,-0.73,-5.72,2.69,2.53,-1.23,35.64,0,4
7366,cruise,14.49,-0.74,-5.78,2.39,2.48,-1.26,35.52,0,4
7422,cruise,14.62,-0.76,-5.84,2.36,2.56,-0.90,35.39,0,4
7479,cruise,14.74,-0.77,-5.88,1.93,2.79,-0.91,35.27,0,4
7533,cruise,14.85,-0.78,-5.92,2.07,3.01,-0.92,35.16,0,4
7586,cruise,14.96,-0.79,-5.97,2.41,3.12,-0.94,35.05,0,4
7640,cruise,15.10,-0.80,-6.01,2.60,3.08,-0.96,34.91,0,4
7692,cruise,15.23,-0.82,-6.05,2.52,3.04,-0.98,34.78,0,4
7747,cruise,15.37,-0.83,-6.10,2.52,3.00,-1.00,34.64,0,4
7804,cruise,15.52,-0.85,-6.15,2.84,2.95,-1.02,34.49,0,4
7858,cruise,15.67,-0.87,-6.20,2.49,2.90,-1.05,34.34,0,4
7910,cruise,15.78,-0.88,-6.25,2.01,2.87,-1.07,34.23,0,4
7966,cruise,15.89,-0.89,-6.30,2.15,2.83,-1.08,34.12,0,4
8020,cruise,16.01,-0.90,-6.35,2.27,2.79,-1.10,34.00,0,4
8074,cruise,16.12,-0.92,-6.40,1.84,2.76,-1.12,33.89,0,4
8127,cruise,16.21,-0.93,-6.46,1.64,2.73,-1.13,33.81,0,4
8181,cruise,16.30,-0.94,-6.51,2.04,2.70,-1.15,33.71,0,4
8234,cruise,16.43,-0.95,-6.57,2.41,2.65,-1.17,33.59,0,4
8287,cruise,16.55,-0.96,-6.62,2.03,2.70,-0.89,33.47,0,4
8341,cruise,16.65,-0.98,-6.66,1.84,2.92,-0.81,33.36,0,4
8396,cruise,16.76,-0.99,-6.70,1.98,3.14,-0.82,33.26,0,4
8451,cruise,16.88,-1.00,-6.74,2.27,3.33,-0.84,33.14,0,4
8504,cruise,17.00,-1.02,-6.77,2.45,3.30,-0.85,33.01,0,4
8557,cruise,17.14,-1.03,-6.81,2.64,3.26,-0.87,32.88,0,4
8609,cruise,17.28,-1.05,-6.85,2.65,3.22,-0.89,32.74,0,4
8664,cruise,17.43,-1.07,-6.89,2.97,3.18,-0.91,32.59,0,4
8717,cruise,17.60,-1.09,-6.94,3.39,3.12,-0.94,32.42,0,4
8769,cruise,17.76,-1.11,-6.98,3.04,3.07,-0.97,32.26,0,4
8821,cruise,17.93,-1.13,-7.02,3.24,3.01,-1.00,32.09,0,4
8874,cruise,18.10,-1.15,-7.07,3.34,2.95,-1.03,31.92,0,4
8927,cruise,18.28,-1.17,-7.12,3.70,2.87,-1.06,31.74,0,4
8979,cruise,18.47,-1.20,-7.17,3.48,2.88,-0.86,31.55,0,4
9032,cruise,18.65,-1.22,-7.20,3.13,3.09,-0.73,31.38,0,4
9085,cruise,18.81,-1.24,-7.23,3.12,3.30,-0.74,31.22,0,4
9137,cruise,18.98,-1.26,-7.27,3.53,3.47,-0.77,31.05,0,4
9189,cruise,19.16,-1.28,-7.30,3.68,3.42,-0.79,30.87,0,4
9242,cruise,19.37,-1.31,-7.34,4.13,3.36,-0.82,30.65,0,4
9294,cruise,19.58,-1.34,-7.37,3.70,3.29,-0.85,30.45,0,4
9346,cruise,19.76,-1.36,-7.41,3.36,3.23,-0.88,30.27,0,4
9399,cruise,19.95,-1.39,-7.45,4.04,3.17,-0.92,30.08,0,4
9451,cruise,20.17,-1.42,-7.49,4.10,3.09,-0.96,29.87,0,4
9504,cruise,20.36,-1.44,-7.54,3.53,3.11,-0.69,29.67,0,4
9557,cruise,20.54,-1.46,-7.57,3.18,3.33,-0.62,29.50,0,4
9609,cruise,20.71,-1.49,-7.59,3.29,3.54,-0.64,29.33,0,4
9661,cruise,20.87,-1.51,-7.62,3.14,3.69,-0.65,29.17,0,4
9714,cruise,21.05,-1.53,-7.65,3.64,3.65,-0.67,28.99,0,4
9767,cruise,21.24,-1.56,-7.68,3.78,3.60,-0.70,28.80,0,4
9819,cruise,21.43,-1.58,-7.71,3.36,3.55,-0.72,28.62,0,4
9871,cruise,21.60,-1.61,-7.74,3.16,3.51,-0.75,28.44,0,4
9924,cruise,21.76,-1.63,-7.78,2.89,3.47,-0.77,28.29,0,4
9979,cruise,21.91,-1.65,-7.81,3.05,3.42,-0.79,28.14,0,4
10031,cruise,22.08,-1.67,-7.85,3.05,3.37,-0.82,27.97,0,4
10084,cruise,22.23,-1.69,-7.88,2.76,3.47,-0.46,27.82,0,4
10137,cruise,22.37,-1.71,-7.90,2.67,3.68,-0.47,27.69,0,4
10219,cruise,22.55,-1.74,-7.93,2.03,4.01,-0.48,27.51,0,4
10272,cruise,22.68,-1.76,-7.95,2.89,4.01,-0.49,27.38,0,4
10325,cruise,22.84,-1.78,-7.97,2.96,3.98,-0.51,27.22,0,4
10377,cruise,22.98,-1.80,-7.99,2.46,3.96,-0.52,27.08,0,4
10430,cruise,23.11,-1.82,-8.01,2.75,3.94,-0.53,26.95,0,4
10484,cruise,23.27,-1.84,-8.04,3.16,3.90,-0.55,26.79,0,4
10536,cruise,23.42,-1.86,-8.06,2.90,3.87,-0.56,26.64,0,4
10589,cruise,23.59,-1.88,-8.08,3.41,3.84,-0.58,26.48,0,4
10642,cruise,23.78,-1.91,-8.11,3.68,3.79,-0.60,26.29,0,4
10694,cruise,23.96,-1.94,-8.14,3.51,3.77,-0.55,26.11,0,4
10746,cruise,24.14,-1.96,-8.15,3.27,3.98,-0.29,25.94,0,4
10799,cruise,24.33,-1.99,-8.16,3.89,4.19,-0.30,25.75,0,4
10852,cruise,24.53,-2.02,-8.17,3.93,4.37,-0.31,25.55,0,4
10904,cruise,24.74,-2.05,-8.18,3.97,4.35,-0.33,25.34,0,4
10957,cruise,24.95,-2.08,-8.20,3.86,4.32,-0.34,25.14,0,4
11011,cruise,25.15,-2.11,-8.21,3.75,4.29,-0.35,24.94,0,4
11063,cruise,25.35,-2.14,-8.22,3.77,4.26,-0.37,24.75,0,4
11116,cruise,25.55,-2.17,-8.24,4.13,4.23,-0.38,24.55,0,4
11169,cruise,25.78,-2.20,-8.25,4.60,4.27,-0.17,24.32,0,4
11221,cruise,26.00,-2.23,-8.25,4.16,4.47,-0.10,24.10,0,4
11273,cruise,26.22,-2.26,-8.25,4.43,4.69,-0.10,23.89,0,4
11327,cruise,26.47,-2.30,-8.25,5.03,4.79,-0.11,23.64,0,4
11379,cruise,26.72,-2.34,-8.26,4.59,4.77,-0.11,23.40,0,4
11432,cruise,26.96,-2.37,-8.26,4.70,4.76,-0.12,23.16,0,4
11486,cruise,27.23,-2.41,-8.26,5.11,4.75,-0.13,22.90,0,4
11538,cruise,27.50,-2.45,-8.26,5.40,4.73,0.09,22.63,0,4
11591,cruise,27.80,-2.49,-8.25,5.86,4.72,0.14,22.34,0,4
11643,cruise,28.09,-2.53,-8.24,5.55,4.70,0.15,22.05,0,4
11696,cruise,28.37,-2.58,-8.23,5.22,4.69,0.16,21.78,0,4
11748,cruise,28.65,-2.61,-8.22,5.29,4.67,0.16,21.51,0,4
11801,cruise,28.93,-2.66,-8.20,5.56,4.66,0.17,21.24,0,4
11854,cruise,29.21,-2.70,-8.19,5.24,4.27,0.40,20.96,0,4
11907,cruise,29.48,-2.74,-8.16,5.27,4.15,0.42,20.70,0,4
11959,cruise,29.75,-2.77,-8.14,5.09,4.11,0.44,20.44,0,4
12012,cruise,30.03,-2.81,-8.11,5.27,4.06,0.47,20.17,0,4
12065,cruise,30.31,-2.85,-8.08,5.37,4.01,0.49,19.90,0,4
12117,cruise,30.57,-2.89,-8.05,4.91,3.96,0.52,19.64,0,4
12170,cruise,30.82,-2.93,-8.02,4.84,3.57,0.72,19.40,0,4
12223,cruise,31.09,-2.96,-7.98,5.09,3.50,0.75,19.14,0,4
12275,cruise,31.33,-3.00,-7.94,4.20,3.43,0.78,18.91,0,4
12328,cruise,31.53,-3.02,-7.89,3.66,3.38,0.81,18.72,0,4
12380,cruise,31.73,-3.05,-7.85,4.10,3.32,0.84,18.52,0,4
12432,cruise,31.94,-3.08,-7.80,4.04,3.25,0.88,18.32,0,4
12486,cruise,32.13,-3.11,-7.75,3.26,3.19,0.91,18.13,0,4
12539,cruise,32.30,-3.13,-7.70,3.08,2.92,1.05,17.98,0,4
12591,cruise,32.46,-3.15,-7.64,2.93,2.86,1.07,17.83,0,4
12643,cruise,32.61,-3.17,-7.58,2.79,2.81,1.10,17.68,0,4
12696,cruise,32.73,-3.19,-7.52,2.27,2.77,1.12,17.56,0,4
12749,cruise,32.85,-3.20,-7.46,2.19,2.73,1.13,17.45,0,4
12801,cruise,32.96,-3.22,-7.40,2.20,2.70,1.15,17.34,0,4
12854,cruise,33.07,-3.23,-7.34,2.15,2.66,1.17,17.23,0,4
12907,cruise,33.18,-3.25,-7.28,1.83,2.63,1.19,17.13,0,4
12959,cruise,33.26,-3.26,-7.21,1.52,2.61,1.20,17.05,0,4
13012,cruise,33.34,-3.27,-7.15,1.45,2.59,1.21,16.98,0,4
13065,cruise,33.41,-3.28,-7.08,1.30,2.57,1.21,16.91,0,4
13117,cruise,33.47,-3.28,-7.02,1.02,2.56,1.22,16.85,0,4
13170,cruise,33.52,-3.29,-6.95,1.01,2.56,1.22,16.80,0,4
13223,cruise,33.58,-3.30,-6.89,1.04,2.55,1.22,16.75,0,4
13275,cruise,33.63,-3.30,-6.82,1.08,2.55,1.23,16.70,0,4
13327,cruise,33.68,-3.31,-6.76,0.90,2.54,1.23,16.65,0,4
13380,cruise,33.72,-3.31,-6.69,0.69,2.55,1.23,16.61,0,4
13433,cruise,33.76,-3.32,-6.62,0.73,2.55,1.22,16.58,0,4
13485,cruise,33.80,-3.32,-6.56,0.91,2.39,1.30,16.53,0,4
13538,cruise,33.84,-3.33,-6.49,0.54,2.39,1.30,16.50,0,4
13591,cruise,33.86,-3.33,-6.42,0.32,2.41,1.30,16.48,0,4
13647,cruise,33.88,-3.33,-6.34,0.44,2.42,1.29,16.46,0,4
13704,cruise,33.91,-3.33,-6.27,0.57,2.43,1.28,16.43,0,4
13760,cruise,33.94,-3.34,-6.19,0.55,2.44,1.28,16.40,0,4
13813,cruise,33.97,-3.34,-6.13,0.48,2.45,1.27,16.38,0,4
13865,cruise,34.00,-3.34,-6.06,0.64,2.46,1.27,16.35,0,4
13919,cruise,34.04,-3.35,-5.99,0.78,2.46,1.27,16.31,0,4
13973,cruise,34.08,-3.35,-5.92,0.73,2.47,1.27,16.27,0,4
14030,cruise,34.13,-3.36,-5.85,1.13,2.47,1.27,16.22,0,4
14082,cruise,34.19,-3.36,-5.78,1.07,2.46,1.27,16.17,0,4
14136,cruise,34.25,-3.37,-5.71,1.14,2.45,1.27,16.11,0,4
14190,cruise,34.32,-3.38,-5.64,1.49,2.44,1.28,16.04,0,4
14246,cruise,34.40,-3.38,-5.57,1.59,2.42,1.29,15.96,0,4
14300,cruise,34.49,-3.39,-5.49,1.75,2.39,1.30,15.88,0,4
14352,cruise,34.58,-3.40,-5.42,1.92,2.36,1.32,15.79,0,4
14405,cruise,34.69,-3.41,-5.35,2.03,2.32,1.34,15.69,0,4
14460,cruise,34.80,-3.42,-5.28,2.08,2.28,1.36,15.58,0,4
14514,cruise,34.92,-3.43,-5.20,2.21,2.24,1.38,15.47,0,4
14566,cruise,35.04,-3.44,-5.13,2.54,2.18,1.41,15.35,0,4
14620,cruise,35.17,-3.46,-5.05,2.38,2.12,1.44,15.23,0,4
14675,cruise,35.30,-3.47,-4.97,2.57,1.92,1.54,15.10,0,4
14728,cruise,35.44,-3.48,-4.89,2.69,1.85,1.57,14.97,0,4
14780,cruise,35.57,-3.49,-4.80,2.30,1.79,1.60,14.84,0,4
14833,cruise,35.70,-3.50,-4.72,2.43,1.74,1.63,14.72,0,4
14887,cruise,35.84,-3.51,-4.63,2.76,1.66,1.67,14.59,0,4
14939,cruise,35.97,-3.52,-4.54,2.39,1.60,1.70,14.46,0,4
14993,cruise,36.09,-3.53,-4.45,2.21,1.54,1.73,14.35,0,4
15045,cruise,36.21,-3.54,-4.36,2.38,1.48,1.76,14.24,0,4
15101,cruise,36.35,-3.55,-4.26,2.56,1.40,1.80,14.11,0,4
15154,cruise,36.47,-3.56,-4.16,1.97,1.33,1.83,13.99,0,4
15206,cruise,36.56,-3.57,-4.07,1.76,1.29,1.86,13.90,0,4
15259,cruise,36.66,-3.57,-3.97,2.05,1.15,1.93,13.81,0,4
15312,cruise,36.76,-3.58,-3.86,1.70,1.10,1.95,13.71,0,4
15365,cruise,36.85,-3.59,-3.76,1.70,1.06,1.97,13.63,0,4
15417,cruise,36.93,-3.59,-3.66,1.40,1.03,1.98,13.55,0,4
15470,cruise,37.00,-3.60,-3.55,1.38,1.01,2.00,13.48,0,4
15523,cruise,37.08,-3.60,-3.45,1.45,1.00,2.01,13.41,0,4
15575,cruise,37.15,-3.61,-3.34,1.14,1.00,2.02,13.35,0,4
15628,cruise,37.20,-3.61,-3.24,0.99,1.00,2.03,13.30,0,4
15681,cruise,37.26,-3.61,-3.13,1.11,1.00,2.03,13.24,0,4
15734,cruise,37.32,-3.62,-3.02,0.97,1.00,2.04,13.19,0,4
15786,cruise,37.36,-3.62,-2.92,0.73,1.00,2.04,13.15,0,4
15839,cruise,37.40,-3.62,-2.81,0.87,1.00,2.04,13.11,0,4
15892,cruise,37.45,-3.62,-2.70,0.94,1.00,2.04,13.06,0,4
15945,cruise,37.50,-3.62,-2.59,0.83,1.00,2.04,13.02,0,4
15998,cruise,37.54,-3.63,-2.49,0.97,1.00,2.04,12.97,0,4
16051,cruise,37.59,-3.63,-2.38,0.81,1.00,2.04,12.93,0,4
16103,cruise,37.63,-3.63,-2.27,0.76,1.00,2.04,12.89,0,4
16156,cruise,37.67,-3.63,-2.17,0.79,1.00,2.04,12.85,0,4
16209,cruise,37.72,-3.63,-2.06,0.90,1.00,2.04,12.81,0,4
16261,cruise,37.76,-3.63,-1.95,0.75,1.00,2.04,12.77,0,4
16314,cruise,37.80,-3.64,-1.85,0.71,1.00,2.04,12.73,0,4
16366,cruise,37.84,-3.64,-1.74,0.69,1.00,2.03,12.69,0,4
16419,cruise,37.87,-3.64,-1.63,0.43,1.00,2.03,12.67,0,4
16471,cruise,37.89,-3.64,-1.53,0.44,1.00,2.02,12.65,0,4
16524,cruise,37.91,-3.64,-1.42,0.45,1.00,2.01,12.62,0,4
16577,cruise,37.93,-3.64,-1.31,0.25,1.00,2.06,12.61,0,4
16629,cruise,37.94,-3.64,-1.21,0.21,1.00,2.05,12.59,0,4
16681,cruise,37.96,-3.64,-1.10,0.30,1.00,2.03,12.58,0,4
16735,cruise,37.97,-3.64,-0.99,0.07,1.00,2.02,12.57,0,4
16787,cruise,37.97,-3.64,-0.89,0.27,1.00,2.00,12.57,0,4
16840,cruise,37.99,-3.64,-0.78,0.36,1.01,1.99,12.55,0,4
16893,cruise,38.01,-3.64,-0.68,0.42,1.03,1.98,12.53,0,4
16945,cruise,38.04,-3.64,-0.58,0.54,1.05,1.97,12.50,0,4
16999,cruise,38.07,-3.64,-0.47,0.61,1.06,1.97,12.48,0,4
17051,cruise,38.10,-3.64,-0.37,0.61,1.07,1.96,12.44,0,4
17104,cruise,38.14,-3.64,-0.26,0.74,1.08,1.96,12.41,0,4
17157,cruise,38.17,-3.64,-0.16,0.72,1.09,1.96,12.37,0,4
17210,cruise,38.22,-3.64,-0.06,0.92,1.09,1.96,12.33,0,4
17262,cruise,38.26,-3.64,0.04,0.79,1.09,1.96,12.29,0,4
17315,cruise,38.31,-3.64,0.15,0.94,1.09,1.96,12.25,0,4
17367,cruise,38.36,-3.64,0.25,1.03,1.08,1.96,12.20,0,4
17420,cruise,38.41,-3.64,0.35,0.89,1.07,1.96,12.15,0,4
17472,cruise,38.45,-3.64,0.45,0.91,1.07,1.96,12.11,0,4
17525,cruise,38.51,-3.64,0.56,1.19,1.06,1.97,12.05,0,4
17578,cruise,38.58,-3.64,0.66,1.16,1.04,1.98,11.99,0,4
17630,cruise,38.62,-3.64,0.76,0.84,1.04,1.98,11.94,0,4
17683,cruise,38.67,-3.64,0.87,0.99,1.03,1.98,11.90,0,4
17736,cruise,38.73,-3.64,0.97,1.19,1.02,1.99,11.84,0,4
